status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.print_section,response.docs.print_page,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time,response.docs.subsection_name
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"THE brute force of a hurricane sparks a reflexive response: fight or flight, cherished pictures or heirloom china, beer or water?      And news anchors, too, rely on well-worn instincts: go toward the disaster, set up shop and then stand out in the wind-driven rain to let the storm wreak havoc on their generally well-attended hair. Conditions, they will mostly tell you, are ''worsening.''  ",https://www.nytimes.com/2005/09/05/business/media/the-pendulum-of-reporting-on-katrina.html,"THE brute force of a hurricane sparks a reflexive response: fight or flight, cherished pictures or heirloom china, beer or water?      And news anchors, too, rely on well-worn instincts: go toward the disaster, set up shop and then stand out in th...",Correction Appended,C,1,The New York Times,,,2005-09-05T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/42604c2d-6b62-5d25-8c06-16d7522c1de9,1479,nyt://article/42604c2d-6b62-5d25-8c06-16d7522c1de9,The Pendulum of Reporting on Katrina,David Carr,NA,The Pendulum Of Reporting On Katrina,NA,NA,NA,By David Carr,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"In Katrina's wake, gasoline prices are rising faster than oil prices -- an odd, but explicable, phenomenon. Enough crude oil is being produced to meet global demand, but the ability of the Gulf Coast's many refineries to turn the oil into gasoline has been devastated, as has the ability to transport the gasoline that does become available. Those supply bottlenecks are chiefly responsible for this past week's higher prices at the pump.     President Bush's immediate response is to lend oil from the government's Strategic Petroleum Reserve to refineries and to streamline the refining process by temporarily relaxing environmental standards -- sound stopgap measures to help ensure a steady supply of gasoline. The International Energy Agency, whose members are 26 rich nations, has also made a big contribution, pledging on Friday to supply world markets with an additional 60 million barrels of oil and gasoline over the next 30 days, half of which would come from the United States' emergency stockpiles.  ",https://www.nytimes.com/2005/09/06/opinion/katrina-and-the-gas-pump.html,"In Katrina's wake, gasoline prices are rising faster than oil prices -- an odd, but explicable, phenomenon. Enough crude oil is being produced to meet global demand, but the ability of the Gulf Coast's many refineries to turn the oil into gasoline...","In Katrina's wake, gasoline prices are rising faster than oil prices -- an odd, but explicable, phenomenon. Enough crude oil is being produced to meet global demand, but the ability of the Gulf Coast's many refineries to turn the oil into gasoline has been devastated, as has the ability to transport the gasoline that does become available. Those supply bottlenecks are chiefly responsible for this past week's higher prices at the pump.",A,26,The New York Times,,,2005-09-06T05:00:00+0000,article,Editorial Desk,Opinion,Editorial,nyt://article/31d547cf-9f44-594f-9098-531f4a0af080,696,nyt://article/31d547cf-9f44-594f-9098-531f4a0af080,Katrina and the Gas Pump,Editorial,NA,Katrina and the Gas Pump,NA,NA,NA,NA,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Soaring gasoline prices after Hurricane Katrina and fears over gasoline supplies are causing travelers to calculate how much Labor Day weekend trip will cost by car, whether it is cheaper to fly and how easy it will be to fill up; few travelers are canceling their trips, while others are reconsidering vacations they plan to take this fall; that is bad news for innkeepers, hotel chains, rental car companies and airlines, for whom fall is traditionally slow season until Thanksgiving arrives; Labor Day weekend is primarily a driving holiday; about 28.8 million travelers will be on road this weekend; map; chart; photos (M)",https://www.nytimes.com/2005/09/02/business/the-postkatrina-calculus-of-fuel-prices.html,"Soaring gasoline prices after Hurricane Katrina and fears over gasoline supplies are causing travelers to calculate how much Labor Day weekend trip will cost by car, whether it is cheaper to fly and how easy it will be to fill up; few travelers ar...","The Labor Day holiday offers the last chance for a summer fling, and there is every sign that millions of travelers will take to the highways and the skies this weekend.",C,1,The New York Times,,,2005-09-02T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/e976e8d1-8a3e-5118-8afc-d8b0d9257997,1620,nyt://article/e976e8d1-8a3e-5118-8afc-d8b0d9257997,The Post-Katrina Calculus of Fuel Prices,Labor Day Travel,NA,"HURRICANE KATRINA: LABOR DAY TRAVEL -- The Post-Katrina Calculus of Fuel Prices; By Air or Car, Travel Is Complex",NA,NA,NA,By Micheline Maynard and Christopher Elliott,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,List of organizations collections donations for hurricane relief (M),https://www.nytimes.com/2005/09/01/us/hurricane-katrina-where-to-help.html,List of organizations collections donations for hurricane relief (M),Following are organizations and groups that the Federal Emergency Management Agency says are collecting donations or offers of help:,A,19,The New York Times,,,2005-09-01T05:00:00+0000,article,National Desk,U.S.,List,nyt://article/e128e359-e41b-5220-a5ff-ea3322fc6604,101,nyt://article/e128e359-e41b-5220-a5ff-ea3322fc6604,Where to Help,HURRICANE KATRINA,NA,HURRICANE KATRINA; Where to Help,NA,NA,NA,NA,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,List of organizations collecting donations for hurricane-ravaged areas around New Orleans,https://www.nytimes.com/2005/08/31/us/hurricane-katrina-where-to-help.html,List of organizations collecting donations for hurricane-ravaged areas around New Orleans,Following are organizations and groups that the Federal Emergency Management Agency says are collecting donations or offers of help:,A,11,The New York Times,,,2005-08-31T05:00:00+0000,article,National Desk,U.S.,List,nyt://article/5df084fe-b54b-5fb9-9e44-2c2e089f3f11,136,nyt://article/5df084fe-b54b-5fb9-9e44-2c2e089f3f11,Where to Help,HURRICANE KATRINA,NA,HURRICANE KATRINA; Where to Help,NA,NA,NA,NA,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Perhaps no city in the United States is in a better spot than Houston to turn Katrina's tragedy into opportunity. And businesses here are already scrambling to profit in the hurricane's aftermath.      Oil services companies based here are racing to carry out repairs to damaged offshore platforms in the Gulf of Mexico; the promise of plenty of work to do sent shares in two large companies, Halliburton and Baker Hughes, soaring to 52-week highs last week. The Port of Houston is preparing for an increase in traffic as shippers divert cargoes away from the damaged ports of Pascagoula, Miss., and New Orleans.  ",https://www.nytimes.com/2005/09/06/business/houston-finds-business-boon-after-katrina.html,Perhaps no city in the United States is in a better spot than Houston to turn Katrina's tragedy into opportunity. And businesses here are already scrambling to profit in the hurricane's aftermath.      Oil services companies based here are racing ...,"HOUSTON, Sept. 5 - Perhaps no city in the United States is in a better spot than Houston to turn Katrina's tragedy into opportunity. And businesses here are already scrambling to profit in the hurricane's aftermath.",A,1,The New York Times,,,2005-09-06T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/8563a376-5756-5c07-bf12-b6a1a72f1ca9,1551,nyt://article/8563a376-5756-5c07-bf12-b6a1a72f1ca9,Houston Finds Business Boon After Katrina,STORM AND CRISIS: BOOM FOR HOUSTON,NA,STORM AND CRISIS: BOOM FOR HOUSTON; Houston Finds Business Boon After Katrina,NA,NA,NA,By Simon Romero,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"AS the Gulf Coast reels from Katrina's devastation, online businesses are struggling to gauge the impact of the possible loss of half a million prospective customers for weeks or months.     ''This is a tough one, because it is a big market,'' said Patti Freeman Evans, an analyst with Jupiter Research, an Internet consulting firm. ''You can't get goods in there, and people aren't in their homes anyway, so there's not much companies can do.''  ",https://www.nytimes.com/2005/09/05/technology/not-even-web-retailers-will-be-exempt-from-the-aftereffects-of.html,"AS the Gulf Coast reels from Katrina's devastation, online businesses are struggling to gauge the impact of the possible loss of half a million prospective customers for weeks or months.     ''This is a tough one, because it is a big market,'' sai...","AS the Gulf Coast reels from Katrina's devastation, online businesses are struggling to gauge the impact of the possible loss of half a million prospective customers for weeks or months.",C,4,The New York Times,,,2005-09-05T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/e6f3ad76-6789-5c04-9852-0b5502188d98,1040,nyt://article/e6f3ad76-6789-5c04-9852-0b5502188d98,Not Even Web Retailers Will Be Exempt From the Aftereffects of Katrina,E-COMMERCE REPORT,NA,E-COMMERCE REPORT; Not Even Web Retailers Will Be Exempt From the Aftereffects of Katrina,NA,NA,NA,By Bob Tedeschi,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Hurricane Katrina pounds Gulf Coast with devastating force, sparing New Orleans catastrophic hit but killing dozens in neighboring Mississippi; it rips away roofs and leaves coastal roads impassable; emergency workers in Harrison County, Miss, including Gulfport and Biloxi, say they expect to find more dead among people trapped in their homes and in collapsed buildings; downtown Mobile, Ala, is severely flooded; storm packs 145-mile-an-hour winds as it makes landfall, leaving more than million people in three states without power and submerging highways even hundreds of miles from its center; it ranks as one of most punishing hurricanes ever to hit United States; insurance experts say damage could exceed $9 billion; photos; maps (L)",https://www.nytimes.com/2005/08/30/us/hurricane-katrina-slams-into-gulf-coast-dozens-are-dead.html,"Hurricane Katrina pounds Gulf Coast with devastating force, sparing New Orleans catastrophic hit but killing dozens in neighboring Mississippi; it rips away roofs and leaves coastal roads impassable; emergency workers in Harrison County, Miss, inc...","NEW ORLEANS, Aug. 29 - Hurricane Katrina pounded the Gulf Coast with devastating force at daybreak on Monday, sparing New Orleans the catastrophic hit that had been feared but inundating parts of the city and heaping damage on neighboring Mississippi, where it killed dozens, ripped away roofs and left coastal roads impassable.",A,1,The New York Times,,,2005-08-30T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/353c7909-a5be-5ae0-b2b0-1e813100c536,2311,nyt://article/353c7909-a5be-5ae0-b2b0-1e813100c536,Hurricane Katrina Slams Into Gulf Coast; Dozens Are Dead,HURRICANE KATRINA: THE OVERVIEW,NA,HURRICANE KATRINA: THE OVERVIEW; HURRICANE SLAMS INTO GULF COAST; DOZENS ARE DEAD,NA,NA,NA,By Joseph B. Treaster and Kate Zernike,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Louisiana Superdome, with thousands of hurricane refugees inside, roof leaking and power out, is unlikely to be able to host New Orleans Saints games (S)",https://www.nytimes.com/2005/08/31/us/nationalspecial/adequate-for-refugees-but-football.html,"Louisiana Superdome, with thousands of hurricane refugees inside, roof leaking and power out, is unlikely to be able to host New Orleans Saints games (S)","With holes in its roof and thousands of people stranded inside, the Louisiana Superdome in New Orleans has become a large, leaky refugee center. But whether it will be ready to return to use as a football stadium anytime soon is a question.",A,13,The New York Times,,,2005-08-31T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/f2a58445-e03c-569a-99c3-b5da0762c43d,153,nyt://article/f2a58445-e03c-569a-99c3-b5da0762c43d,"Adequate for Refugees, but Football?",HURRICANE KATRINA,NA,"HURRICANE KATRINA; Adequate for Refugees, but Football?",NA,NA,NA,NA,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Gasoline dealers post eye-popping prices across country, reflecting panic in both dealers and consumers not seen since days after Sept 11, 2001, attacks; some stations on East Coast and in Midwest post prices well over $3 a gallon, putting their prices more in line with those of West Coast, where prices have traditionally been highest in recent years; AAA says average price for regular unleaded rises 6.1 cents, to $2.68 a gallon; adds pump prices are 44 percent higher than year ago; photo (M)",https://www.nytimes.com/2005/09/02/business/you-want-how-much-a-gallon.html,"Gasoline dealers post eye-popping prices across country, reflecting panic in both dealers and consumers not seen since days after Sept 11, 2001, attacks; some stations on East Coast and in Midwest post prices well over $3 a gallon, putting their p...","CHICAGO, Sept. 1 - At a downtown Marathon gasoline station here, gas prices did something strange in the wake of the deadly Hurricane Katrina -- they fell 25 cents a gallon, to $3.45, for regular unleaded fuel.",C,1,The New York Times,,,2005-09-02T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/fc5385f6-b489-57a1-99fa-cea8ac389d24,1007,nyt://article/fc5385f6-b489-57a1-99fa-cea8ac389d24,You Want How Much a Gallon?,Prices at the Pump,NA,HURRICANE KATRINA: PRICES AT THE PUMP -- The Post-Katrina Calculus of Fuel Prices; You Want How Much a Gallon?,NA,NA,NA,By Alexei Barrionuevo and Jeff Bailey,,NA,445,0,36,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Hurricane Katrina ravages Mississippi coast, sparing neither modest bungalows nor $500,000 homes in new subdivision that is now obliterated (S)",https://www.nytimes.com/2005/08/31/us/nationalspecial/the-misery-is-spread-equally.html,"Hurricane Katrina ravages Mississippi coast, sparing neither modest bungalows nor $500,000 homes in new subdivision that is now obliterated (S)","WAVELAND, Miss., Aug. 30 - The storm was nothing if not equal opportunity in its misery.",A,12,The New York Times,,,2005-08-31T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/ccd6f1d3-3dcc-5580-b865-a96a22721c75,554,nyt://article/ccd6f1d3-3dcc-5580-b865-a96a22721c75,The Misery Is Spread Equally,HURRICANE KATRINA: ON THE COAST,NA,HURRICANE KATRINA: ON THE COAST; The Misery Is Spread Equally,NA,NA,NA,By James Dao,,NA,445,10,16,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"New Orleans, ravaged by Hurricane Katrina, will essentially be arm of Gulf of Mexico until engineers can repair breaks in huge levees that separate city from Lake Pontchartrain; drawing; experts warn that repairs become even more difficult as tidal pull widens breaks; geologist Shea Penland explains that hurricane broke channels into bowl in which city sits; John Hall of Army Corps of Engineers says narrow canal that has break is not accessible by barge, partly because of new low bridge and hurricane barrier 700 feet away (M)",https://www.nytimes.com/2005/08/31/us/nationalspecial/geography-complicates-levee-repair.html,"New Orleans, ravaged by Hurricane Katrina, will essentially be arm of Gulf of Mexico until engineers can repair breaks in huge levees that separate city from Lake Pontchartrain; drawing; experts warn that repairs become even more difficult as tida...","Until engineers can repair breaks in the huge levees that separate New Orleans from Lake Pontchartrain, the city will essentially be an arm of the Gulf of Mexico, subject to the ebb and flow of the tides.",A,10,The New York Times,,,2005-08-31T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/d8706525-de57-51a0-8d82-d986497b1b1b,754,nyt://article/d8706525-de57-51a0-8d82-d986497b1b1b,Geography Complicates Levee Repair,HURRICANE KATRINA: FLOODWATERS,NA,HURRICANE KATRINA: FLOODWATERS; Geography Complicates Levee Repair,NA,NA,NA,By Cornelia Dean and Andrew C. Revkin,,NA,445,10,16,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Hurricane Katrina's storm surge--wall of water it pushed ashore when it struck Gulf Coast--was highest ever measured in US, estimated at 25 to 29 feet; previous record was 22-foot surge of Hurricane Camille, which struck in 1969; map (S)",https://www.nytimes.com/2005/09/01/us/hurricane-katrina-the-storm-surge-wall-of-water-set-a-record.html,"Hurricane Katrina's storm surge--wall of water it pushed ashore when it struck Gulf Coast--was highest ever measured in US, estimated at 25 to 29 feet; previous record was 22-foot surge of Hurricane Camille, which struck in 1969; map (S)","Hurricane Katrina's storm surge -- the wall of water it pushed ashore when it struck the Gulf Coast on Monday -- was the highest ever measured in the United States, scientists said yesterday.",A,20,The New York Times,,,2005-09-01T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/9fe7e006-e0ef-5975-a37c-17c8c73932c5,261,nyt://article/9fe7e006-e0ef-5975-a37c-17c8c73932c5,Wall of Water Set a Record,HURRICANE KATRINA: THE STORM SURGE,NA,HURRICANE KATRINA: THE STORM SURGE; Wall of Water Set a Record,NA,NA,NA,NA,,NA,445,10,16,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Economists warn that Hurricane Katrina is likely to leave deeper mark on national economy than previous hurricanes because of its profound disruption to Gulf of Mexico's complex energy supply network; New Orleans is under water; estimated 2.7 million residents in Alabama, Florida, Louisiana and Mississippi have reported power failures, with many expected to be without electricity for weeks; conventional and mobile telephone service along Gulf Coast suffer from severe disruptions from flooded call-routing equipment and damaged cellular towers; businesses across Southern interior ground to halt as storm affected region's transportation network and power grid; casinos are destroyed in Mississippi and New Orleans; tourism is not expected to revive for months; grain shipments face serious delay: Bunge, world's largest oil-seed processor, evacuates huge soybean operation in Destrehan, La, is main export terminal in US; food exports and imports that normally flow in huge quantities through regional ports, roads and rails are likely to face major disruptions for weeks, if not longer; photo (L)",https://www.nytimes.com/2005/08/31/business/damage-to-economy-is-deep-and-wide.html,Economists warn that Hurricane Katrina is likely to leave deeper mark on national economy than previous hurricanes because of its profound disruption to Gulf of Mexico's complex energy supply network; New Orleans is under water; estimated 2.7 mill...,"As Hurricane Katrina plowed through the Mississippi River basin, shutting down ports, flooding cities and cutting power lines, economists warned that it was likely to leave a deeper mark on the national economy than previous hurricanes because of its profound disruption to the Gulf of Mexico's complex energy supply network.",C,1,The New York Times,,,2005-08-31T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/4c98e94e-f2c1-51f5-a29e-e7b3e7191592,1553,nyt://article/4c98e94e-f2c1-51f5-a29e-e7b3e7191592,Damage to Economy Is Deep and Wide,HURRICANE KATRINA: ECONOMIC IMPACT,NA,HURRICANE KATRINA: ECONOMIC IMPACT; Damage to Economy Is Deep and Wide,NA,NA,NA,By Eduardo Porter,,NA,445,10,16,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Slow evacuation of Superdome begins for 20,000 or more storm refugees who steeped for days in arena's sickening heat and stench, unbathed, exhausted and hungry; many liken shelter to a prison; their ordeal described; officials will use hundreds of school buses and municipal buses to take most of them to Astrodome in Houston, where Texas officials promise showers, food, medical care and more freedom of movement than people had in Superdome; photos (M)",https://www.nytimes.com/2005/09/01/us/nationalspecial/superdome-haven-quicklybecomes-an-ordeal.html,"Slow evacuation of Superdome begins for 20,000 or more storm refugees who steeped for days in arena's sickening heat and stench, unbathed, exhausted and hungry; many liken shelter to a prison; their ordeal described; officials will use hundreds of...","NEW ORLEANS, Aug. 31 - The sick and the disabled were the first to be led out. But late Wednesday afternoon, as the slow evacuation of the Superdome began, it was not always easy to distinguish them from the rest of the 20,000 or more storm refugees who had steeped for days in the arena's sickening heat and stench, unbathed, exhausted and hungry.",A,1,The New York Times,,,2005-09-01T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/ebc95571-e45d-5fea-a9f6-d5a9be7d9797,1580,nyt://article/ebc95571-e45d-5fea-a9f6-d5a9be7d9797,Superdome: Haven QuicklyBecomes an Ordeal,HURRICANE KATRINA: THE SUPERDOME,NA,"HURRICANE KATRINA: THE SUPERDOME; At Stadium, a Haven Quickly Becomes an Ordeal",NA,NA,NA,By Joseph B. Treaster,,NA,445,10,16,NA
